CustomerID,Age,Gender,Income_Level,Health_Conscious_Score,Current_Food_Preference,Purchase_Intention,Willingness_To_Pay_INR,Feature_Preference_Taste,Feature_Preference_Freshness,Feature_Preference_Packaging,Feature_Preference_Price,Feature_Preference_Availability,Expected_Repeat_Purchase_Rate,Open_Ended_Feedback,Preferred_Channel,Proximity_to_Store,Channel_Satisfaction,Awareness_Source,Promo_Response,Ad_Recall_Score,Coupon_Usage(%),Brand_Engagement
1,58,Male,Low,5,Fried Chicken,1,307,5,4,1,1,2,0.88,Great idea if the portions are filling enough.,Takeaway Counter,3.05,5,TV,No,5,53,Low
2,55,Female,High,1,None,0,268,3,2,3,1,1,0.42,Convenience matters more to me than health.,Drive-Thru,1.86,3,Online Ads,Yes,1,93,Medium
3,25,Female,Low,5,None,0,337,3,2,1,2,3,0.29,Not sure if a salad fits a fast food place.,Dine-In,4.35,4,Word of Mouth,Yes,3,20,Low
4,31,Other,Low,2,Wraps,0,243,2,3,5,2,3,0.47,I'd love a fresh salad option on the menu.,Dine-In,4.13,3,In-store Promo,Yes,2,72,High
5,38,Male,Medium,7,Fries/Sides Only,1,229,2,4,5,4,5,0.65,Convenience matters more to me than health.,Online Order/App,1.17,2,Online Ads,Yes,1,14,Low
6,28,Other,Medium,2,Sandwiches,0,335,5,3,1,1,5,0.53,"I usually come here for indulgent food, not salads.",Online Order/App,0.65,4,TV,Yes,3,64,Medium
7,50,Male,High,5,None,0,282,2,3,5,1,5,0.46,Would try it if there are good dressing options.,Delivery App,0.2,3,Word of Mouth,Yes,2,72,High
8,23,Other,Medium,2,None,0,161,4,3,5,5,4,0.31,Great idea if the portions are filling enough.,Takeaway Counter,3.8,2,Word of Mouth,Yes,3,56,High
9,46,Male,Low,2,Pizza,1,247,5,3,1,2,1,0.8,I'd love a fresh salad option on the menu.,Online Order/App,0.45,2,Word of Mouth,No,2,69,Low
10,54,Other,Medium,8,None,1,203,4,4,1,1,1,0.95,Convenience matters more to me than health.,Online Order/App,4.02,1,TV,Yes,5,57,Low
