ItemCode,Food Name,Food_Type
2166,Paneer Tikka,Appetizer
2160,Lassi,Beverage
2141,Masala Dosa,Breakfast
2144,Aloo Paratha,Breakfast
2155,Gulab Jamun,Dessert
2154,Ras Malai,Dessert
2153,Kheer,Dessert
2142,Butter Chicken,Main Course
2152,Palak Paneer,Main Coursenn
2145,Chole Bhature,Main Course
2149,Biryani,Main Course
2161,Rogan Josh,Main Course
2148,Dal Tadka,Main Course
2165,Tandoori Chicken,Main Course
2163,Rajma,Main Course
2167,Kofta Curry,Main Course
2151,Malai Kofta,Main Course
2162,Bhindi Masala,Main Course
2147,Samosa,Snack
2150,Pav Bhaji,Snack
2143,Pani Puri,Snack
2164,Vada Pav,Snack
2146,Dhokla,Snack
